"response_id","survey_id","survey_title","session_id","session_num","evaluator_token","pattern_id","pattern_title","pattern_link","started_at","completed_at","duration_ms","duration_human","submitted_at","session_duration_ms","session_duration_human","q_q_overall_helpfulness","q_q_reusability","q_q_clarity_documentation","q_q_adoption_threshold","q_q_adoption_justification","q_q_time_saved","q_q_additional_observations"
69,2,experts evaluation,230,93,kRN4bHF1GadsSyETbg8RbiJNeBCW08q0amURPNbQVM0,1,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-133-02/ontology.ttl,2026-04-14T12:46:27.737000,2026-04-14T12:52:54.456000,386718,6m 26s,2026-04-14T14:13:57.732982,5640463,1h 34m 0s,2,2,1,No,The pattern is too simplified. ,1–25%,
70,2,experts evaluation,230,93,kRN4bHF1GadsSyETbg8RbiJNeBCW08q0amURPNbQVM0,1,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-133-02/ontology.ttl,2026-04-14T12:52:54.456000,2026-04-14T13:04:43.965000,709509,11m 49s,2026-04-14T14:13:57.732991,5640463,1h 34m 0s,1,1,1,No,":Symptom rdfs:subClassOf :Cough should probably be the other way around 
The property rdfs:domainOf does not exist ",0%,
71,2,experts evaluation,230,93,kRN4bHF1GadsSyETbg8RbiJNeBCW08q0amURPNbQVM0,13,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2026-155-01/ontology.ttl,2026-04-14T13:04:43.965000,2026-04-14T13:11:33.052000,409087,6m 49s,2026-04-14T14:13:57.732995,5640463,1h 34m 0s,3,3,2,Maybe,The ODP covers the central survey-observation-method backbone well enough to serve as a reusable starting point. ,26–50%,
72,2,experts evaluation,230,93,kRN4bHF1GadsSyETbg8RbiJNeBCW08q0amURPNbQVM0,13,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2026-155-01/ontology.ttl,2026-04-14T13:11:33.052000,2026-04-14T14:13:57.242000,3744190,1h 2m 24s,2026-04-14T14:13:57.732999,5640463,1h 34m 0s,4,3,2,Maybe,The pattern demonstrates a good conceptual grasp of the domain by addressing most of the competency questions. Its value is primarily as a conceptual map rather than a directly reusable ontology engineering artefact but it is a good start. ,26–50%,
73,2,experts evaluation,239,101,IA3mowerWwm9IWqY49Amp-X2tPtCLmzzBeXi9aQ5SVs,12,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-153-01/ontology.ttl,2026-04-15T08:52:10.348000,2026-04-15T08:56:24.332000,253983,4m 13s,2026-04-15T09:08:48.999328,1005137,16m 45s,3,2,3,Maybe,,26–50%,"The graph can not be visualized due to this error ""Retrieving ontology from IRI: https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-153-01/ontology.ttl
Parsing ontology with OWL API ... done
Generating ontology graph ... failedorg.semanticweb.owlapi.formats.OBODocumentFormat cannot be cast to org.semanticweb.owlapi.formats.PrefixDocumentFormat"
74,2,experts evaluation,239,101,IA3mowerWwm9IWqY49Amp-X2tPtCLmzzBeXi9aQ5SVs,12,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-153-01/ontology.ttl,2026-04-15T08:56:24.332000,2026-04-15T09:00:32.855000,248523,4m 8s,2026-04-15T09:08:48.999336,1005137,16m 45s,3,2,2,Maybe,,1–25%,
75,2,experts evaluation,239,101,IA3mowerWwm9IWqY49Amp-X2tPtCLmzzBeXi9aQ5SVs,6,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2024-145-01/ontology.ttl,2026-04-15T09:00:32.855000,2026-04-15T09:07:40.636000,427781,7m 7s,2026-04-15T09:08:48.999340,1005137,16m 45s,2,1,1,No,,1–25%,"I see this is very strange set of CQs generated from the text. E.g. this question ""How many districts are in a given state of India?"" has no relation to the given text. I assume that the LLM trains from different scenarios and use cases and tries to link between them"
76,2,experts evaluation,239,101,IA3mowerWwm9IWqY49Amp-X2tPtCLmzzBeXi9aQ5SVs,6,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2024-145-01/ontology.ttl,2026-04-15T09:07:40.636000,2026-04-15T09:08:40.362000,59726,59s,2026-04-15T09:08:48.999344,1005137,16m 45s,2,1,2,No,,26–50%,
77,2,experts evaluation,244,103,ITvNOy8VUY5BG06p2o-cHchkR86aq8Jfn23naBbcimo,4,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-03/ontology.ttl,2026-04-15T14:00:44.031000,2026-04-15T14:06:05.666000,321635,5m 21s,2026-04-15T14:11:56.988807,677073,11m 17s,1,2,1,Maybe,,0%,The scenario and the CQs do not match or requires several abstraction/semantic layers to explain their correspondence and relevance.
78,2,experts evaluation,244,103,ITvNOy8VUY5BG06p2o-cHchkR86aq8Jfn23naBbcimo,4,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-03/ontology.ttl,2026-04-15T14:06:05.666000,2026-04-15T14:09:09.225000,183559,3m 3s,2026-04-15T14:11:56.988816,677073,11m 17s,1,2,1,Maybe,"If the use case deals compliance, then maybe the ODP can be reused. But the identified challenges do not have 1:1 correspondence with compliance registry.",0%,"The scenario, ODP, and the CQs do not match."
79,2,experts evaluation,244,103,ITvNOy8VUY5BG06p2o-cHchkR86aq8Jfn23naBbcimo,3,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-02/ontology.ttl,2026-04-15T14:09:09.225000,2026-04-15T14:10:58.976000,109751,1m 49s,2026-04-15T14:11:56.988820,677073,11m 17s,1,1,1,Maybe,ODP in turtle may address the scenario.,0%,CQs do not match the rest.
80,2,experts evaluation,244,103,ITvNOy8VUY5BG06p2o-cHchkR86aq8Jfn23naBbcimo,3,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-02/ontology.ttl,2026-04-15T14:10:58.976000,2026-04-15T14:11:56.895000,57919,57s,2026-04-15T14:11:56.988824,677073,11m 17s,1,1,1,No,,0%,"CQ matches the ttl file, but not the scenario."
119,2,experts evaluation,276,115,Wr1jl7OdaCWBw5Ejhj8CBXw9V2EZzyl3bcu7Apx_2V0,5,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-135-01/ontology.ttl,2026-04-23T12:48:07.165000,2026-04-23T12:52:05.487000,238322,3m 58s,2026-04-23T13:03:48.877445,996373,16m 36s,3,3,2,Maybe,"the scenario is quite simple, so maybe I would go for doing it from scratch myself, after noticing the irrelevant CQ in the AI-generated set",1–25%,
120,2,experts evaluation,276,115,Wr1jl7OdaCWBw5Ejhj8CBXw9V2EZzyl3bcu7Apx_2V0,5,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-135-01/ontology.ttl,2026-04-23T12:52:05.487000,2026-04-23T12:53:01.702000,56215,56s,2026-04-23T13:03:48.877455,996373,16m 36s,3,3,2,Maybe,,1–25%,
121,2,experts evaluation,276,115,Wr1jl7OdaCWBw5Ejhj8CBXw9V2EZzyl3bcu7Apx_2V0,7,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-147-01/ontology.ttl,2026-04-23T12:53:01.702000,2026-04-23T13:03:11.642000,609940,10m 9s,2026-04-23T13:03:48.877458,996373,16m 36s,4,4,1,Yes,The comprehensiveness of the list and the variety of the properties used in the set of CQs provides a good starting point. ,51–75%,
122,2,experts evaluation,276,115,Wr1jl7OdaCWBw5Ejhj8CBXw9V2EZzyl3bcu7Apx_2V0,7,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-147-01/ontology.ttl,2026-04-23T13:03:11.642000,2026-04-23T13:03:48.775000,37133,37s,2026-04-23T13:03:48.877462,996373,16m 36s,4,4,1,Yes,,51–75%,This Pattern is the same as the previous one that I have already replied to.
123,2,experts evaluation,278,117,TEzkXVF8cXGNErRKuu7IfY3rEvCyP6_7cJmk6CVEETA,3,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-02/ontology.ttl,2026-04-23T13:31:34.046000,2026-04-23T13:36:08.763000,274717,4m 34s,2026-04-23T14:03:33.832659,1921855,32m 1s,2,3,3,Maybe,"The draft is limited to the challenges, while the CQs also include the users and actions. ",1–25%,
124,2,experts evaluation,278,117,TEzkXVF8cXGNErRKuu7IfY3rEvCyP6_7cJmk6CVEETA,3,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-02/ontology.ttl,2026-04-23T13:36:08.763000,2026-04-23T13:39:50.945000,222182,3m 42s,2026-04-23T14:03:33.832668,1921855,32m 1s,4,3,4,Yes,"In this case the ODP seems to cover the scope of the CQs better than the other case, and it can be used as a starting point, with some modification and adjustments. ",26–50%,
125,2,experts evaluation,278,117,TEzkXVF8cXGNErRKuu7IfY3rEvCyP6_7cJmk6CVEETA,13,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2026-155-01/ontology.ttl,2026-04-23T13:39:50.945000,2026-04-23T13:59:58.702000,1207757,20m 7s,2026-04-23T14:03:33.832672,1921855,32m 1s,4,3,4,Yes,The relevant classes and properties are included with a high coverage and the documentation is rather comprehensible. ,51–75%,
126,2,experts evaluation,278,117,TEzkXVF8cXGNErRKuu7IfY3rEvCyP6_7cJmk6CVEETA,13,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2026-155-01/ontology.ttl,2026-04-23T13:59:58.702000,2026-04-23T14:03:33.734000,215032,3m 35s,2026-04-23T14:03:33.832675,1921855,32m 1s,2,1,3,No,"The ODP is limited to classes without properties that connect them to one another, and some classes that are interesting in the CQs are missing. ",1–25%,"some of the defined classes could be used to save time, but the completeness is still an issue, and a lot of time is needed to adapt the ODP to match the requirements. "
153,2,experts evaluation,292,125,ksIBxwNpgp6xjsyG7zy51vvGAgrzBRwl-rqYjTQBOeI,7,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-147-01/ontology.ttl,2026-04-27T09:55:01.246000,2026-04-27T10:07:35.375000,4626,4s,2026-04-27T10:10:43.551977,943940,15m 43s,3,4,4,Yes,"I would start with this draft rather than from scratch, since the scenario and competency questions already define a broad and coherent scope for a maritime ship ontology/design pattern. The draft captures several important modeling areas: ship identification, dimensions, ownership, flag state, routes and trajectories, AIS-derived movement properties, propulsion systems, engines, propellers, sails, fuels, and multimodal ship representations such as images, text, and sonar. These provide a useful conceptual foundation for interoperability across AIS, registries, technical specifications, and digital twin applications.

However, the scope is very broad and may need modularization. Some parts belong to different sub-patterns, for example vessel identity and registry data, trajectory and route modeling, propulsion systems, and multimedia representations. I would adopt it as a starting point, but refine the boundaries, align it with existing standards where possible, and ensure that the competency questions are grouped into clearer modules.",26–50%,"The generated ODP appears promising but would benefit from clearer separation of concerns. The competency questions mix static ship properties, operational movement data, ownership and registry information, propulsion engineering, and sensor/media resources. Splitting the pattern into reusable modules would make it easier to maintain and adopt.

Some questions also imply aggregation or analytics, such as “which organization owns the most ships,” “what is the most common type of propeller,” or “how many container ships are registered under the German flag.” These may not require new ontology classes, but rather depend on query patterns over well-modeled data. It would be useful to distinguish between conceptual modeling requirements and analytical query requirements.

The propulsion section is detailed and valuable, especially for digital twins, but it may need tighter definitions of relationships such as powers, drives, is assisted by, and uses propulsion technology. The distinction between engines, propulsors, propulsion systems, fuels, and propulsion technologies should be made explicit to avoid ambiguity.

The trajectory and route concepts should also be carefully modeled. A route may represent a planned, predicted, historical, or intended path, while a trajectory may represent observed movement over time. Distinguishing these types would help answer SAR and prediction-related competency questions more reliably.

Finally, the multimedia-related questions about sonar, images, and textual descriptions are useful, but they may be better handled through links to external resources or provenance-aware data objects rather than deeply embedded in the core ship model. Overall, the draft is adoptable, but it should be modularized, aligned with existing vocabularies, and refined to separate domain knowledge from query/analytics requirements."
154,2,experts evaluation,292,125,ksIBxwNpgp6xjsyG7zy51vvGAgrzBRwl-rqYjTQBOeI,7,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-147-01/ontology.ttl,2026-04-27T10:05:24.186000,2026-04-27T10:07:40.715000,5340,5s,2026-04-27T10:10:43.551985,943940,15m 43s,3,4,4,Yes,"I would start from this draft rather than from scratch because the scenario and competency questions already define a broad but coherent scope for a maritime ship ontology/design pattern. The draft captures several important modeling areas: ship identification, dimensions, ownership, flag state, routes and trajectories, AIS-derived movement properties, propulsion systems, engines, propellers, sails, fuels, and multimodal ship representations such as images, text, and sonar. These provide a useful conceptual foundation for interoperability across AIS, registries, technical specifications, and digital twin applications.

However, the scope is very broad and may need modularization. Some parts belong to different sub-patterns, for example vessel identity and registry data, trajectory and route modeling, propulsion systems, and multimedia representations. I would adopt it as a starting point, but refine the boundaries, align it with existing standards where possible, and ensure that the competency questions are grouped into clearer modules.",26–50%,"The generated ODP appears promising but would benefit from clearer separation of concerns. The competency questions mix static ship properties, operational movement data, ownership and registry information, propulsion engineering, and sensor/media resources. Splitting the pattern into reusable modules would make it easier to maintain and adopt.

Some questions also imply aggregation or analytics, such as “which organization owns the most ships,” “what is the most common type of propeller,” or “how many container ships are registered under the German flag.” These may not require new ontology classes, but rather depend on query patterns over well-modeled data. It would be useful to distinguish between conceptual modeling requirements and analytical query requirements.

The propulsion section is detailed and valuable, especially for digital twins, but it may need tighter definitions of relationships such as powers, drives, is assisted by, and uses propulsion technology. The distinction between engines, propulsors, propulsion systems, fuels, and propulsion technologies should be made explicit to avoid ambiguity.

The trajectory and route concepts should also be carefully modeled. A route may represent a planned, predicted, historical, or intended path, while a trajectory may represent observed movement over time. Distinguishing these types would help answer SAR and prediction-related competency questions more reliably.

Finally, the multimedia-related questions about sonar, images, and textual descriptions are useful, but they may be better handled through links to external resources or provenance-aware data objects rather than deeply embedded in the core ship model. Overall, the draft is adoptable, but it should be modularized, aligned with existing vocabularies, and refined to separate domain knowledge from query/analytics requirements."
155,2,experts evaluation,292,125,ksIBxwNpgp6xjsyG7zy51vvGAgrzBRwl-rqYjTQBOeI,5,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-135-01/ontology.ttl,2026-04-27T10:07:40.715000,2026-04-27T10:10:36.247000,5238,5s,2026-04-27T10:10:43.551990,943940,15m 43s,1,1,1,No,"The draft would not be a useful starting point because the scenario and competency questions are not coherent. The first two CQs concern author pseudonyms, alternative names, and name changes, but the third CQ about river trajectories crossing national parks belongs to a completely different geospatial domain. This indicates that the generated ODP has mixed unrelated concerns and lacks a stable conceptual scope.",0%,"The useful part of the scenario should focus on persons, authorship roles, names, pseudonyms, legal name changes, and publication contexts. A suitable ODP would need to distinguish between a person, an author identity, a name variant, a pseudonym, and the work published under that name.

The river/national park CQ should be removed entirely or moved to a separate geospatial trajectory ODP. Keeping it would make the pattern confusing and reduce reusability. Overall, I would restart from scratch using only the author-name and pseudonym-related requirements."
156,2,experts evaluation,292,125,ksIBxwNpgp6xjsyG7zy51vvGAgrzBRwl-rqYjTQBOeI,5,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-135-01/ontology.ttl,2026-04-27T10:09:45.945000,2026-04-27T10:10:43.251000,7004,7s,2026-04-27T10:10:43.551993,943940,15m 43s,1,1,1,No,"The draft would not be a useful starting point because the scenario and competency questions are not coherent. The first two CQs concern author pseudonyms, alternative names, and name changes, but the third CQ about river trajectories crossing national parks belongs to a completely different geospatial domain. This indicates that the generated ODP has mixed unrelated concerns and lacks a stable conceptual scope.",0%,"The useful part of the scenario should focus on persons, authorship roles, names, pseudonyms, legal name changes, and publication contexts. A suitable ODP would need to distinguish between a person, an author identity, a name variant, a pseudonym, and the work published under that name.

The river/national park CQ should be removed entirely or moved to a separate geospatial trajectory ODP. Keeping it would make the pattern confusing and reduce reusability. Overall, I would restart from scratch using only the author-name and pseudonym-related requirements."
161,2,experts evaluation,308,136,VHaVBuC3ZLPM2xwBaLGQtGh1Hk8qlsQ__iEz8fEe9QE,7,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-147-01/ontology.ttl,2026-05-04T16:27:17.151000,2026-05-04T16:53:36.340000,1579188,26m 19s,2026-05-04T17:09:24.616820,6965803,1h 56m 5s,2,2,2,Maybe,It might be used provided the desired domain coverage fits the coverage of this prototype,1–25%,"Too broad, unfocused. (especially the CQs.) Very hard to consider as a pattern. "
162,2,experts evaluation,308,136,VHaVBuC3ZLPM2xwBaLGQtGh1Hk8qlsQ__iEz8fEe9QE,7,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-147-01/ontology.ttl,2026-05-04T16:53:36.340000,2026-05-04T16:57:57.218000,260878,4m 20s,2026-05-04T17:09:24.616829,6965803,1h 56m 5s,1,1,1,No,Not suitable.  Odd class names. Missing D/R axioms.,0%,
163,2,experts evaluation,308,136,VHaVBuC3ZLPM2xwBaLGQtGh1Hk8qlsQ__iEz8fEe9QE,1,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-133-02/ontology.ttl,2026-05-04T16:57:57.218000,2026-05-04T17:04:20.308000,383090,6m 23s,2026-05-04T17:09:24.616833,6965803,1h 56m 5s,2,2,2,Maybe,"The structure is a bit messy.
Considering AIP alone as factor is odd.  It can be high or low.
Why should a Patient have a causal relation?!",1–25%,
164,2,experts evaluation,308,136,VHaVBuC3ZLPM2xwBaLGQtGh1Hk8qlsQ__iEz8fEe9QE,1,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-133-02/ontology.ttl,2026-05-04T17:04:20.308000,2026-05-04T17:09:24.445000,304137,5m 4s,2026-05-04T17:09:24.616837,6965803,1h 56m 5s,1,1,1,No,Missing domain-range axioms,0%,Vizualization did not work.
